,Power (kW),Power-1 (kW),Temperature (°C),Humidity (%),Solar Radiation (W/m²),Hour of Day,Day of Week
2017-01-10 15:00:00,220.2237465,218.527094,13.959166666666668,61.91083333333333,182.43,15,1
2017-01-10 16:00:00,215.0929295,220.2237465,13.1925,66.69916666666667,30.27083333333333,16,1
2017-01-10 17:00:00,164.3821385,215.0929295,12.934166666666668,68.2975,8.614416666666667,17,1
2017-01-10 18:00:00,142.3276225,164.3821385,12.7075,68.31166666666667,0.4361666666666666,18,1
2017-01-10 19:00:00,106.765655,142.3276225,12.4575,70.53166666666667,0.4200833333333333,19,1
2017-01-10 20:00:00,87.711581,106.765655,12.565,68.20333333333333,0.42475,20,1
2017-01-10 21:00:00,65.0948645,87.711581,12.430833333333334,68.61333333333333,0.3576666666666666,21,1
2017-01-10 22:00:00,56.681085,65.0948645,12.36,69.19083333333333,0.4014166666666667,22,1
2017-01-10 23:00:00,48.478158,56.681085,12.395,69.05583333333333,0.3831666666666666,23,1
2017-01-11 00:00:00,47.816103,48.478158,12.244166666666668,70.35166666666667,0.4293333333333333,0,2
2017-01-11 01:00:00,45.7930115,47.816103,12.224166666666669,71.175,0.40375,1,2
2017-01-11 02:00:00,44.5838325,45.7930115,12.2475,70.1775,0.39225,2,2
2017-01-11 03:00:00,43.925929,44.5838325,12.285833333333334,68.97416666666668,0.4708333333333334,3,2
2017-01-11 04:00:00,44.149673,43.925929,12.214166666666666,68.26416666666667,0.44075,4,2
2017-01-11 05:00:00,47.6297225,44.149673,12.075,68.13833333333334,0.466,5,2
2017-01-11 06:00:00,49.487628,47.6297225,11.875,70.67833333333333,0.4084166666666666,6,2
2017-01-11 07:00:00,90.1249135,49.487628,11.8525,71.84166666666667,1.2230833333333333,7,2
2017-01-11 08:00:00,108.9028035,90.1249135,12.078333333333331,72.15833333333333,64.7975,8,2
2017-01-11 09:00:00,122.7176845,108.9028035,12.941538461538462,66.84307692307692,186.3538461538461,9,2
2017-01-11 10:00:00,220.0721075,122.7176845,13.8425,62.50666666666667,330.8833333333333,10,2
2017-01-11 11:00:00,201.3737515,220.0721075,13.8175,64.28916666666667,407.76666666666665,11,2
2017-01-11 12:00:00,205.864145,201.3737515,16.348333333333333,55.57416666666666,469.9166666666667,12,2
2017-01-11 13:00:00,212.5880455,205.864145,16.840833333333332,54.42,452.2,13,2
2017-01-11 14:00:00,210.276971,212.5880455,17.641666666666666,51.635,388.5083333333334,14,2
2017-01-11 15:00:00,215.977636,210.276971,18.19333333333333,49.775,285.35,15,2
2017-01-11 16:00:00,229.878169,215.977636,17.034166666666668,52.88166666666667,124.91583333333334,16,2
2017-01-11 17:00:00,162.654896,229.878169,15.9375,55.63,11.474666666666666,17,2
2017-01-11 18:00:00,140.5560245,162.654896,15.6825,58.44583333333333,0.4453333333333333,18,2
2017-01-11 19:00:00,106.582989,140.5560245,14.8,65.54,0.5099166666666667,19,2
2017-01-11 20:00:00,80.9929245,106.582989,14.65,66.24416666666667,0.6436666666666667,20,2
2017-01-11 21:00:00,58.870892,80.9929245,13.526666666666666,71.98416666666667,0.5376666666666666,21,2
2017-01-11 22:00:00,53.7831195,58.870892,13.178333333333333,72.91666666666667,0.6115,22,2
2017-01-11 23:00:00,51.376779,53.7831195,12.76,75.13076923076923,0.4771538461538461,23,2
2017-01-12 00:00:00,48.60314,51.376779,12.3175,77.09166666666667,0.8353333333333333,0,3
2017-01-12 01:00:00,46.3947605,48.60314,11.3825,79.26666666666667,0.63,1,3
2017-01-12 02:00:00,44.6725435,46.3947605,10.759166666666667,82.05,0.5377500000000001,2,3
2017-01-12 03:00:00,44.9600895,44.6725435,10.4575,84.2,0.7570833333333334,3,3
2017-01-12 04:00:00,45.169631,44.9600895,9.453333333333331,89.06666666666666,0.8100833333333334,4,3
2017-01-12 05:00:00,48.762208,45.169631,8.930833333333334,93.05,1.6529166666666668,5,3
2017-01-12 06:00:00,51.419168,48.762208,8.348333333333334,93.8,0.7085833333333333,6,3
2017-01-12 07:00:00,91.3957095,51.419168,8.110833333333334,94.10833333333332,1.4035833333333334,7,3
2017-01-12 08:00:00,119.7203015,91.3957095,8.386666666666667,94.54166666666669,32.99,8,3
2017-01-12 09:00:00,141.5467035,119.7203015,9.0275,94.75,91.185,9,3
2017-01-12 10:00:00,235.2993725,141.5467035,10.366666666666667,94.71666666666664,106.47,10,3
2017-01-12 11:00:00,207.000782,235.2993725,9.783333333333331,95.10833333333332,188.34166666666667,11,3
2017-01-12 12:00:00,211.969909,207.000782,10.239166666666668,94.84166666666664,227.475,12,3
2017-01-12 13:00:00,216.8798225,211.969909,10.750833333333333,94.45,226.1833333333333,13,3
2017-01-12 14:00:00,220.040862,216.8798225,12.31,86.09166666666665,219.575,14,3
2017-01-12 15:00:00,220.870288,220.040862,13.704166666666666,74.14916666666666,255.25,15,3
